pattern,pattern_label,n,structure,trial,insert_time_s,search_hit_time_s,search_miss_time_s,height,load_factor,avg_non_empty_chain_len,collisions
Random,Random,1000,BST,1,0.0005726999952457845,0.0004650999981095083,0.00028899999597342685,25,,,
Random,Random,1000,BST,2,0.00039429999742424116,0.00038409999979194254,0.0002845999988494441,19,,,
Random,Random,1000,BST,3,0.0004171999971731566,0.00041620000411057845,0.00026149999757763,22,,,
Random,Random,1000,Red-Black Tree,1,0.0008388999995077029,0.0004626000009011477,0.0005098999972688034,12,,,
Random,Random,1000,Red-Black Tree,2,0.0011621999947237782,0.0004676000025938265,0.0004769999941345304,12,,,
Random,Random,1000,Red-Black Tree,3,0.0008012999969650991,0.0005553000009967946,0.00047810000251047313,13,,,
Random,Random,1000,Hash Table,1,0.00017350000416627154,7.480000203941017e-05,7.2900002123788e-05,,0.7692,1.3831,277
Random,Random,1000,Hash Table,2,0.00010090000432683155,7.389999518636614e-05,6.759999814676121e-05,,0.7692,1.3532,261
Random,Random,1000,Hash Table,3,0.00010029999975813553,7.14999987394549e-05,6.769999890821055e-05,,0.7692,1.3643,267
Sorted,Sorted,1000,BST,1,0.014751100003195461,0.014251399996282998,6.22000006842427e-05,1000,,,
Sorted,Sorted,1000,BST,2,0.015210000005026814,0.014703299995744601,5.499999679159373e-05,1000,,,
Sorted,Sorted,1000,BST,3,0.01564630000211764,0.014907400000083726,5.4499992984347045e-05,1000,,,
Sorted,Sorted,1000,Red-Black Tree,1,0.0013833999983035028,0.00048160000005736947,0.00043139999615959823,17,,,
Sorted,Sorted,1000,Red-Black Tree,2,0.0013586999994004145,0.0004394999996293336,0.00041280000004917383,17,,,
Sorted,Sorted,1000,Red-Black Tree,3,0.0014568000042345375,0.0004645000008167699,0.0004124999977648258,17,,,
Sorted,Sorted,1000,Hash Table,1,9.580000187270343e-05,6.909999501658604e-05,6.470000516856089e-05,,0.7692,1.0,0
Sorted,Sorted,1000,Hash Table,2,0.00013719999697059393,7.699999696342275e-05,6.380000559147447e-05,,0.7692,1.0,0
Sorted,Sorted,1000,Hash Table,3,9.169999975711107e-05,6.720000237692147e-05,6.310000026132911e-05,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,1,0.010990700000547804,0.0151045000020531,0.028911299996252637,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,2,0.010752300004241988,0.014893799998390023,0.029966499998408835,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,3,0.01137860000017099,0.015042900005937554,0.028540500003146008,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,1,0.0010973000025842339,0.0004625999936251901,0.0008292999991681427,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,2,0.0025246000004699454,0.00043709999590646476,0.0007148000004235655,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,3,0.0010485000020707957,0.0004642999992938712,0.0009760000029928051,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,1,0.002303799999936018,0.002338999998755753,8.549999620299786e-05,,0.7692,1000.0,999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,2,0.00281169999652775,0.002526799995393958,6.500000017695129e-05,,0.7692,1000.0,999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,3,0.0023842000009608455,0.0023487999933422543,6.22000006842427e-05,,0.7692,1000.0,999
Random,Random,10000,BST,1,0.00722650000534486,0.0006238999994820915,0.0003619999988586642,31,,,
Random,Random,10000,BST,2,0.006801399998948909,0.0007631999978912063,0.0004532000020844862,31,,,
Random,Random,10000,BST,3,0.00635830000101123,0.0007365999990724958,0.0004995999988750555,30,,,
Random,Random,10000,Red-Black Tree,1,0.011016600001312327,0.0007028999971225858,0.0006452000015997328,16,,,
Random,Random,10000,Red-Black Tree,2,0.013296600001922343,0.0007284000021172687,0.0006920000014360994,16,,,
Random,Random,10000,Red-Black Tree,3,0.011607500004174653,0.000662800004647579,0.0007363999975495972,16,,,
Random,Random,10000,Hash Table,1,0.0011987999969278462,8.800000068731606e-05,7.809999806340784e-05,,0.7692,1.3852,2781
Random,Random,10000,Hash Table,2,0.0012893999955849722,9.439999848837033e-05,0.00015520000306423753,,0.7692,1.3806,2757
Random,Random,10000,Hash Table,3,0.001239799996255897,8.890000026440248e-05,7.239999831654131e-05,,0.7692,1.3959,2836
Sorted,Sorted,10000,BST,1,1.6104235999955563,0.1536871999996947,6.959999882383272e-05,10000,,,
Sorted,Sorted,10000,BST,2,1.5469535999945947,0.14826309999625664,6.060000305296853e-05,10000,,,
Sorted,Sorted,10000,BST,3,1.5729862000007415,0.14901190000091447,6.469999789260328e-05,10000,,,
Sorted,Sorted,10000,Red-Black Tree,1,0.017237100000784267,0.0008049999960348941,0.0007493000011891127,24,,,
Sorted,Sorted,10000,Red-Black Tree,2,0.017818400003307033,0.00083969999832334,0.0005909000028623268,24,,,
Sorted,Sorted,10000,Red-Black Tree,3,0.033603099996980745,0.000735100002202671,0.0005947000026935712,24,,,
Sorted,Sorted,10000,Hash Table,1,0.0010830999963218346,9.210000280290842e-05,6.900000153109431e-05,,0.7692,1.0,0
Sorted,Sorted,10000,Hash Table,2,0.0009706999990157783,7.860000187065452e-05,6.179999763844535e-05,,0.7692,1.0,0
Sorted,Sorted,10000,Hash Table,3,0.0010223999997833744,8.549999620299786e-05,6.270000449148938e-05,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,BST,1,1.0639584999953513,0.148334799996519,0.301947799998743,10000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,BST,2,1.071847200000775,0.15211180000187596,0.3084666000067955,10000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,BST,3,1.0681401999972877,0.14548379999905592,0.3059436000039568,10000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Red-Black Tree,1,0.01485310000134632,0.0007322999954340048,0.001066100005118642,24,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Red-Black Tree,2,0.01494049999746494,0.0007600999961141497,0.0010860000038519502,24,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Red-Black Tree,3,0.016971700002613943,0.0007483000008505769,0.0011461999965831637,24,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Hash Table,1,0.23486119999870425,0.022809100002632476,6.829999620094895e-05,,0.7692,10000.0,9999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Hash Table,2,0.2301865999979782,0.02317169999878388,6.98000003467314e-05,,0.7692,10000.0,9999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",10000,Hash Table,3,0.23617039999953704,0.023818299996491987,6.959999882383272e-05,,0.7692,10000.0,9999
Random,Random,100000,BST,1,0.12313629999698605,0.0021180999974603765,0.0004304000030970201,41,,,
Random,Random,100000,BST,2,0.1489246000055573,0.0011570999995456077,0.0004241999995429069,41,,,
Random,Random,100000,BST,3,0.14294730000256095,0.0013255000012577511,0.0003355999942868948,40,,,
Random,Random,100000,Red-Black Tree,1,0.2112665999957244,0.0011587999979383312,0.0007120000009308569,20,,,
Random,Random,100000,Red-Black Tree,2,0.17000720000214642,0.0013556000048993155,0.0008140999998431653,20,,,
Random,Random,100000,Red-Black Tree,3,0.3464581000007456,0.0013677000024472363,0.0008045000067795627,20,,,
Random,Random,100000,Hash Table,1,0.03176250000251457,0.00023860000510467216,0.00012180000339867547,,0.7692,1.3891,28010
Random,Random,100000,Hash Table,2,0.03291280000121333,0.00020539999968605116,0.00011519999679876491,,0.7692,1.3904,28079
Random,Random,100000,Hash Table,3,0.026756400002341252,0.0001931000006152317,0.00011470000026747584,,0.7692,1.3862,27859
Sorted,Sorted,100000,BST,1,213.62789909999992,2.611950500002422,7.140000525396317e-05,100000,,,
Sorted,Sorted,100000,BST,2,238.494763900002,2.385977300000377,0.000145500001963228,100000,,,
Sorted,Sorted,100000,BST,3,212.27958890000446,2.1544147999957204,9.359999967273325e-05,100000,,,
Sorted,Sorted,100000,Red-Black Tree,1,0.3276763999965624,0.001293900000746362,0.0007029999978840351,31,,,
Sorted,Sorted,100000,Red-Black Tree,2,0.34063670000614366,0.0018438999977661297,0.0011602000013226643,31,,,
Sorted,Sorted,100000,Red-Black Tree,3,0.38591830000223126,0.0019409999949857593,0.0011721999981091358,31,,,
Sorted,Sorted,100000,Hash Table,1,0.01662170000054175,0.0003276999996160157,0.00010679999832063913,,0.7692,1.0,0
Sorted,Sorted,100000,Hash Table,2,0.016652799997245893,0.0002623000036692247,6.439999560825527e-05,,0.7692,1.0,0
Sorted,Sorted,100000,Hash Table,3,0.015061400001286529,0.00030250000418163836,0.00010420000035082921,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,1,160.39032519999455,1.6465497000026517,3.249427499999001,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,2,148.9683268000008,2.01173689999996,3.846978900000977,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,3,123.23477700000512,1.5729025999971782,3.1192479000019375,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,1,0.19850740000401856,0.001305300000240095,0.0014780999990762211,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,2,0.18015519999607932,0.0013065999955870211,0.0014264999990700744,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,3,0.2672478000022238,0.0012819000039598905,0.0013954000023659319,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,1,28.17896230000042,0.2951485000012326,7.840000034775585e-05,,0.7692,100000.0,99999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,2,28.416937900001358,0.3582962000000407,0.000221800000872463,,0.7692,100000.0,99999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,3,28.90220859999681,0.28718340000341414,7.829999958630651e-05,,0.7692,100000.0,99999
